col,fieldname
 F05021," Plastic Surgery, 55-64         "
 F05024," Colon & Rectal Surgery, < 35   "
 F05025," Colon & Rectal Surgery, 35-44  "
 F05026," Colon & Rectal Surgery, 45-54  "
 F05027," Colon & Rectal Surgery, 55-64  "
 F05030," Thoracic Surgery, < 35         "
 F05031," Thoracic Surgery, 35-44        "
 F05032," Thoracic Surgery, 45-54        "
 F05033," Thoracic Surgery, 55-64        "
 F05036," Urology, < 35                  "
 F05037," Urology, 35-44                 "
 F05038," Urology, 45-54                 "
 F05039," Urology, 55-64                 "
 F05042," Other Specs, Total, < 35       "
 F05043," Other Specs, Total, 35-44      "
 F05044," Other Specs, Total, 45-54      "
 F05045," Other Specs, Total, 55-64      "
 F05048," Aerospace Medicine, < 35       "
 F05049," Aerospace Medicine, 35-44      "
 F05050," Aerospace Medicine, 45-54      "
 F05051," Aerospace Medicine, 55-64      "
 F05054," Anesthesiology, < 35           "
 F05055," Anesthesiology, 35-44          "
 F05056," Anesthesiology, 45-54          "
 F05057," Anesthesiology, 55-64          "
 F05060," Child Psychiatry, < 35         "
 F05061," Child Psychiatry, 35-44        "
 F05062," Child Psychiatry, 45-54        "
 F05063," Child Psychiatry, 55-64        "
 F05066," Diagnostic Radiology, < 35     "
 F05067," Diagnostic Radiology, 35-44    "
 F05068," Diagnostic Radiology, 45-54    "
 F05069," Diagnostic Radiology, 55-64    "
 F05072," Forensic Pathology, < 35       "
 F05073," Forensic Pathology, 35-44      "
 F05074," Forensic Pathology, 45-54      "
 F05075," Forensic Pathology, 55-64      "
 F05078," Neurology, < 35                "
 F05079," Neurology, 35-44               "
 F05080," Neurology, 45-54               "
 F05081," Neurology, 55-64               "
 F05084," Occupational Medicine, < 35    "
 F05085," Occupational Medicine, 35-44   "
 F05086," Occupational Medicine, 45-54   "
 F05087," Occupational Medicine, 55-64   "
 F05090," Psychiatry, < 35               "
 F05091," Psychiatry, 35-44              "
 F05092," Psychiatry, 45-54              "
 F05093," Psychiatry, 55-64              "
 F05096," Pathology, Anat/Clinic, < 35   "
 F05097," Pathology, Anat/Clinic, 35-44  "
 F05098," Pathology, Anat/Clinic, 45-54  "
 F05099," Pathology, Anat/Clinic, 55-64  "
 F05102," Physical Med & Rehab, < 35     "
 F05103," Physical Med & Rehab, 35-44    "
 F05104," Physical Med & Rehab, 45-54    "
 F05105," Physical Med & Rehab, 55-64    "
 F05108," General Preventive Med, < 35   "
 F05109," General Preventive Med, 35-44  "
 F05110," General Preventive Med, 45-54  "
 F05111," General Preventive Med, 55-64  "
 F05114," Public Health, < 35            "
 F05115," Public Health, 35-44           "
 F05116," Public Health, 45-54           "
 F05117," Public Health, 55-64           "
 F05126," Radiation Oncology, < 35       "
 F05127," Radiation Oncology, 35-44      "
 F05128," Radiation Oncology, 45-54      "
 F05129," Radiation Oncology, 55-64      "
 F05138," Unspecified, < 35              "
 F05139," Unspecified, 35-44             "
 F05140," Unspecified, 45-54             "
 F05141," Unspecified, 55-64             "
 F05144," MD's, Inactive, < 35           "
 F05145," MD's, Inactive, 35-44          "
 F05146," MD's, Inactive, 45-54          "
 F05147," MD's, Inactive, 55-64          "
 F05150," MD's, Not Classified, < 35     "
 F05151," MD's, Not Classified, 35-44    "
 F05152," MD's, Not Classified, 45-54    "
 F05153," MD's, Not Classified, 55-64    "
 F08857, Total Active M.D.s Non-Federal 
 F08860," MD's, Tot Gen Pract, PC,Off Bsd"
 F08861," Med Spec Tot, PC, Office Based "
 F08862," Surg Specs Tot, PC, Office Bsd "
 F08863," Other Spec, Tot, PC, Off Based "
 F09811," Radiology, Total               "
 F09813," Radiology, PC, Office Based    "
 F09815," Radiology, PC, Hosp FT Staff   "
 F09816," Nuclear Med, Total             "
 F09818," Nuclear Med, PC, Office Based  "
 F09820," Nuclear Med, PC, Hosp FT Staff "
 F09821," Other Specs, Total             "
 F09823," Other Specs, PC, Office Based  "
 F09825," Other Specs, PC, Hosp FT Staff "
 F09826," Emergency Med, Total           "
 F09828," Emergency Med, PC, Office Based"
 F09830," Emergency Med, PC, Hosp FT Stf "
 F09947," MD's, Gen Pract, Total         "
 F09949," MD's, Gen Pract, PC, Office Bsd"
 F09950," MD's, Gen Pract, PC, Hsp Rsdnt "
 F09951," MD's, Gen Pract, PC, Hsp FT Stf"
 F09952," MD's, Gen Pract, Administration"
 F09953," MD's, Gen Pract, Teaching      "
 F09955," MD's, Gen Pract, Other         "
 F09977," Cardiovas Dis, Administration  "
 F09978," Cardiovas Dis, Teaching        "
 F09980," Cardiovas Dis, Other           "
 F09983," Dermatology, Administration    "
 F09984," Dermatology, Teaching          "
 F09986," Dermatology, Other             "
 F09989," Gastroenterology, Administrat  "
 F09990," Gastroenterology, Teaching     "
 F09992," Gastroenterology, Other        "
 F10013," Ped Cardiolgy, Administration  "
 F10014," Ped Cardiolgy, Teaching        "
 F10016," Ped Cardiolgy, Other           "
 F10019," Pulmonary Dis, Administration  "
 F10020," Pulmonary Dis, Teaching        "
 F10022," Pulmonary Dis, Other           "
 F10027," Genrl Surg, Administration     "
 F10028," Genrl Surg, Teaching           "
 F10030," Genrl Surg, Other              "
 F10033," Neurolgcal Surg, Administration"
 F10034," Neurolgcal Surg, Teaching      "
 F10036," Neurolgcal Surg, Other         "
 F10045," Ophthalmolgy, Administration   "
 F10046," Ophthalmolgy, Teaching         "
 F10048," Ophthalmolgy, Other            "
 F10051," Orthopedic Surg, Administration"
 F10052," Orthopedic Surg, Teaching      "
 F10054," Orthopedic Surg, Other         "
 F10057," Otolaryngolgy, Administration  "
 F10058," Otolaryngolgy, Teaching        "
 F10060," Otolaryngolgy, Other           "
 F10063," Plastic Surg, Administration   "
 F10064," Plastic Surg, Teaching         "
 F10066," Plastic Surg, Other            "
 F10069," Colon/Rectal Srg, Administrat  "
 F10070," Colon/Rectal Srg, Teaching     "
 F10072," Colon/Rectal Srg, Other        "
 F10075," Thoracic Surg, Administration  "
 F10076," Thoracic Surg, Teaching        "
 F10078," Thoracic Surg, Other           "
 F10081," Urology, Administration        "
 F10082," Urology, Teaching              "
 F10084," Urology, Other                 "
 F10089," Aerospace Med, Administration  "
 F10090," Aerospace Med, Teaching        "
 F10092," Aerospace Med, Other           "
 F10095," Anesthesiolgy, Administration  "
 F10096," Anesthesiolgy, Teaching        "
 F10098," Anesthesiolgy, Other           "
 F10101," Child Psych, Administration    "
 F10102," Child Psych, Teaching          "
 F10104," Child Psych, Other             "
 F10107," Diag Radiolgy, Administration  "
 F10108," Diag Radiolgy, Teaching        "
 F10110," Diag Radiolgy, Other           "
 F10113," Forensic Path, Administration  "
 F10114," Forensic Path, Teaching        "
 F10116," Forensic Path, Other           "
 F10119," Neurology, Administration      "
 F10120," Neurology, Teaching            "
 F10122," Neurology, Other               "
 F10125," Occupat Med, Administration    "
 F10126," Occupat Med, Teaching          "
 F10128," Occupat Med, Other             "
 F10131," Psychiatry, Administration     "
 F10132," Psychiatry, Teaching           "
 F10134," Psychiatry, Other              "
 F10137," Path,Anat/Clinic,Administration"
 F10138," Path,Anat/Clinic,Teaching      "
 F10140," Path,Anat/Clinic,Other         "
 F10143," Phys Med/Rehab, Administration "
 F10144," Phys Med/Rehab, Teaching       "
 F10146," Phys Med/Rehab, Other          "
 F10149," Gen Prev Med, Administration   "
 F10150," Gen Prev Med, Teaching         "
 F10152," Gen Prev Med, Other            "
 F10155," Public Health, Administration  "
 F10156," Public Health, Teaching        "
 F10158," Public Health, Other           "
 F10161," Radiology, Administration      "
 F10162," Radiology, Teaching            "
 F10164," Radiology, Other               "
 F10167," Nuclear Med, Administration    "
 F10168," Nuclear Med, Teaching          "
 F10170," Nuclear Med, Other             "
 F10173," Rad Oncology, Administration   "
 F10174," Rad Oncology, Teaching         "
 F10176," Rad Oncology, Other            "
 F10179," Other Specs, Administration    "
 F10180," Other Specs, Teaching          "
 F10182," Other Specs, Other             "
 F10185," Emergency Med, Administration  "
 F10186," Emergency Med, Teaching        "
 F10188," Emergency Med, Other           "
 F10191," Unspecified, Administration    "
 F10192," Unspecified, Teaching          "
 F10194," Unspecified, Other             "
 F10498, # Active Dentists < 35         
 F10505, # Active Dentists 65 +         
 F10506," Dentists, Total, Priv Pract, FT"
 F10507," Dentists, Total, Priv Pract, PT"
 F10749," MD's, General Pract, < 35      "
 F10750," MD's, General Pract, 35-44     "
 F10751," MD's, General Pract, 45-54     "
 F10752," MD's, General Pract, 55-64     "
 F10759," Emergency Medicine, < 35       "
 F10760," Emergency Medicine, 35-44      "
 F10761," Emergency Medicine, 45-54      "
 F10762," Emergency Medicine, 55-64      "
 F10764," Nuclear Medicine, < 35         "
 F10765," Nuclear Medicine, 35-44        "
 F10766," Nuclear Medicine, 45-54        "
 F10767," Nuclear Medicine, 55-64        "
 F10773," Radiology, < 35                "
 F10774," Radiology, 35-44               "
 F10775," Radiology, 45-54               "
 F10776," Radiology, 55-64               "
 F10777," Other Specialty, < 35          "
 F10778," Other Specialty, 35-44         "
 F10779," Other Specialty, 45-54         "
 F10780," Other Specialty, 55-64         "
 F11068," M.D.'s, Total Research         "
 F11069," MD's, Tot Gen Pract,Tot Ptn Cr "
 F11071," MD's, Tot Gen Pract, Research  "
 F11072," MD's, Gen Pract, Total Ptn Care"
 F11074," MD's, Gen Pract, Research      "
 F11078," Med Spec Tot, Total Patn Care  "
 F11080," Med Spec Tot, Research         "
 F11084," Cardiovas Dis, Total Patn Care "
 F11086," Cardiovas Dis, Research        "
 F11087," Dermatology, Total Patnt Care  "
 F11089," Dermatology, Research          "
 F11090," Gastroenterology, Total Ptn Cr "
 F11092," Gastroenterology, Research     "
 F11093," Gnrl Int Med, Total Patn Care  "
 F11095," General Int Med, Research      "
 F11112," Ped Cardiolgy, Total Patn Care "
 F11114," Ped Cardiolgy, Research        "
 F11115," Pulmonary Dis, Total Patn Care "
 F11117," Pulmonary Dis, Research        "
 F11118," Surg Specs Tot, Total Patn Care"
 F11120," Surg Specs Tot, Research       "
 F11121," Genrl Surg, Total Patient Care "
 F11123," Genrl Surg, Research           "
 F11124," Neurolgcal Surg, Total Ptn Care"
 F11126," Neurolgcal Surg, Research      "
 F11130," Ophthalmolgy, Total Patn Care  "
 F11132," Ophthalmolgy, Research         "
 F11133," Orthopedic Surg, Total Ptn Care"
 F11135," Orthopedic Surg, Research      "
 F11136," Otolaryngolgy, Total Ptn Care  "
 F11138," Otolaryngolgy, Research        "
 F11139," Plastic Surg, Total Patn Care  "
 F11141," Plastic Surg, Research         "
 F11142," Colon/Rectal Srg, Total Ptn Cr "
 F11144," Colon/Rectal Srg, Research     "
 F11145," Thoracic Surg, Total Patn Care "
 F11147," Thoracic Surg, Research        "
 F11148," Urology, Total Patient Care    "
 F11150," Urology, Research              "
 F11151," Other Spec, Tot, Total Ptn Care"
 F11153," Other Spec, Tot, Research      "
 F11154," Aerospace Med, Total Patn Care "
 F11156," Aerospace Med, Research        "
 F11157," Anesthesiolgy, Total Patn Care "
 F11159," Anesthesiolgy, Research        "
 F11160," Child Psych, Total Patn Care   "
 F11162," Child Psych, Research          "
 F11163," Diag Radiolgy, Total Patn Care "
 F11165," Diag Radiolgy, Research        "
 F11166," Emergency Med, Total Patn Care "
 F11168," Emergency Med, Research        "
 F11169," Forensic Path, Total Patn Care "
 F11171," Forensic Path, Research        "
 F11172," Neurology, Total Patient Care  "
 F11174," Neurology, Research            "
 F11175," Nuclear Med, Total Patient Care"
 F11177," Nuclear Med, Research          "
 F11178," Occupat Med, Total Patnt Care  "
 F11180," Occupat Med, Research          "
 F11181," Psychiatry, Total Patient Care "
 F11183," Psychiatry, Research           "
 F11184," Path,Anat/Clinic,Tot Patient Cr"
 F11186," Path,Anat/Clinic,Research      "
 F11187," Phys Med/Rehab, Total Patnt Cr "
 F11189," Phys Med/Rehab, Research       "
 F11190," Gen Prev Med, Total Patnt Care "
 F11192," Gen Prev Med, Research         "
 F11193," Public Health, Total Patnt Care"
 F11195," Public Health, Research        "
 F11196," Radiology, Total Patient Care  "
 F11198," Radiology, Research            "
 F11199," Rad Oncology, Total Patnt Care "
 F11201," Rad Oncology, Research         "
 F11202," Other Specs, Total Patnt Care  "
 F11204," Other Specs, Research          "
 F11205," Unspecified, Total Patient Care"
 F11207," Unspecified, Research          "
 F11208," General Internal Med, Total    "
 F11209," Gnrl Int Med, PC, Office Based "
 F11211," Gnrl Int Med, PC, Hosp FT Staff"
 F11212," General Int Med,Administration "
 F11213," General Int Med, Teaching      "
 F11214," General Int Med, Other         "
 F11215," M.D.'s, Total Ptn Care Non-Fed "
 F11216," MDs, Tot Hosp-Based PC Non-Fed "
 F11217," M.D.'s, Total Oth Prof Activity"
 F11269," M.D.'s, Tot PC, Hosp Residents "
 F11270," M.D.'s, Total PC, Hosp FT Staff"
 F11271," M.D.'s, Total Oth Prof Activity"
 F11273," MD's,Tot Gen Prac,PC,Hosp Res  "
 F11274," MD's,Tot Gen Prac,PC,Hsp FT Stf"
 F11275," MD's,Tot Gen Prac,Oth Prof Act "
 F11277," Gen Int Med, PC, Hosp Residents"
 F11278," Gen Int Med, PC, Hosp FT Staff "
 F11279," Gen Internal Med, Oth Prof Act "
 F11289," Genrl Surg, PC, Hosp Residents "
 F11290," Genrl Surg, PC, Hosp FT Staff  "
 F11291," Genrl Surg, Other Prof Activity"
 F11297," Other Surg, PC, Hosp Residents "
 F11298," Other Surg, PC, Hosp FT Staff  "
 F11299," Other Surg, Other Prof Activity"
 F11301," Psychiatry, PC, Hosp Residents "
 F11302," Psychiatry, PC, Hosp FT Staff  "
 F11303," Psychiatry, Other Prof Activity"
 F11305," Oth Oth Spec, PC, Hosp Resident"
 F11306," Oth Oth Spec, PC, Hosp FT Staff"
 F11307," Other Other Spec, Oth Prof Act "
 F11318, # Active Dentists 35-44        
 F11319, # Active Dentists 45-54        
 F11674," Allergy & Immunology, Total    "
 F11675," Allergy&Immunology,Tot Patn Cr "
 F11676," Allergy&Immunology,PC,Off Based"
 F11679," Allergy&Immunlgy,PC,Hosp FT Stf"
 F11680," Allergy&Immunlgy,Administration"
 F11681," Allergy&Immunology, Teaching   "
 F11682," Allergy&Immunology, Research   "
 F11683," Allergy&Immunology, Other      "
 F11684," Ob-Gyn, General, Total         "
 F11685," Ob-Gyn, Gen, Total Patient Care"
 F11686," Ob-Gyn, Gen, PC, Office Based  "
 F11689," Ob-Gyn, Gen, PC, Hosp FT Staff "
 F11690," Ob-Gyn, General, Administration"
 F11691," Ob-Gyn, General, Teaching      "
 F11692," Ob-Gyn, General, Research      "
 F11693," Ob-Gyn, General, Other         "
 F11694," Ob-Gyn Subspecs, Total         "
 F11695," Ob-Gyn Subspecs,Tot Patient Cr "
 F11696," Ob-Gyn Subspecs,PC,Off Based   "
 F11699," Ob-Gyn Subspecs,PC,Hosp FT Stf "
 F11700," Ob-Gyn Subspecs, Administration"
 F11701," Ob-Gyn Subspecs, Teaching      "
 F11702," Ob-Gyn Subspecs, Research      "
 F11703," Ob-Gyn Subspecs, Other         "
 F11704," Pediatrics, General, Total     "
 F11705," Pediatrics,Gen,Tot Patient Care"
 F11706," Pediatrics,Gen,PC, Office Based"
 F11709," Pediatrics,Gen,PC,Hosp FT Staff"
 F11710," Pediatrics,Gen, Administration "
 F11711," Pediatrics,Gen, Teaching       "
 F11712," Pediatrics,Gen, Research       "
 F11713," Pediatrics,Gen, Other          "
 F11714," Ped Subspecs, Total            "
 F11715," Ped Subspecs, Total Patn Care  "
 F11716," Ped Subspecs, PC, Office Based "
 F11719," Ped Subspecs, PC, Hosp FT Staff"
 F11720," Ped Subspecs, Administration   "
 F11721," Ped Subspecs, Teaching         "
 F11722," Ped Subspecs, Research         "
 F11723," Ped Subspecs, Other            "
 F11724," Int Med Subspecs, Total        "
 F11725," Int Med Subspecs, Tot Patn Care"
 F11726," Int Med Subspecs, PC, Off Based"
 F11729," Int Med Subspecs,PC,Hosp FT Stf"
 F11730," Int Med Subspecs, Administrat  "
 F11731," Int Med Subspecs, Teaching     "
 F11732," Int Med Subspecs, Research     "
 F11733," Int Med Subspecs, Other        "
 F11735," Pediatrics,Gen,PC,Hosp Resident"
 F11736," Pediatrics,Gen,PC,Hosp FT Staff"
 F11737," Pediatrics, Gen, Oth Prof Act  "
 F11739," Other Med, PC, Hosp Residents  "
 F11740," Other Med, PC, Hosp FT Staff   "
 F11741," Other Med, Other Prof Activity "
 F11743," Ob-Gyn, Gen, PC,Hosp Residents "
 F11744," Ob-Gyn, Gen, PC, Hosp FT Staff "
 F11745," Ob-Gyn, Gen, Oth Prof Activity "
 F11747," Ob-Gyn Subspecs,PC,Hosp Resdnt "
 F11748," Ob-Gyn Subspecs,PC,Hosp FT Stf "
 F11749," Ob-Gyn Subspecs, Oth Prof Act  "
 F11859," Allergy & Immunology, < 35     "
 F11860," Allergy & Immunology, 35-44    "
 F11861," Allergy & Immunology, 45-54    "
 F11862," Allergy & Immunology, 55-64    "
 F11864," General Internal Med, < 35     "
 F11865," General Internal Med, 35-44    "
 F11866," General Internal Med, 45-54    "
 F11867," General Internal Med, 55-64    "
 F11869," Internal Med Subspecs, < 35    "
 F11870," Internal Med Subspecs, 35-44   "
 F11871," Internal Med Subspecs, 45-54   "
 F11872," Internal Med Subspecs, 55-64   "
 F11874," Pediatrics, General, < 35      "
 F11875," Pediatrics, General, 35-44     "
 F11876," Pediatrics, General, 45-54     "
 F11877," Pediatrics, General, 55-64     "
 F11879," Pediatric Subspecs, < 35       "
 F11880," Pediatric Subspecs, 35-44      "
 F11881," Pediatric Subspecs, 45-54      "
 F11882," Pediatric Subspecs, 55-64      "
 F11884," Ob-Gyn, General, < 35          "
 F11885," Ob-Gyn, General, 35-44         "
 F11886," Ob-Gyn, General, 45-54         "
 F11887," Ob-Gyn, General, 55-64         "
 F11889," Ob-Gyn Subspecs, < 35          "
 F11890," Ob-Gyn Subspecs, 35-44         "
 F11891," Ob-Gyn Subspecs, 45-54         "
 F11892," Ob-Gyn Subspecs, 55-64         "
 F11996," MD's, Fam Med Gen, Total       "
 F11997," MD's, Fam Med Gen, Tot Ptn Cr  "
 F11998," MD's, Fam Med Gen,PC,Off Bsd   "
 F12001," MD's, Fam Med Gen,Hsp FT Staff "
 F12002," MD's, Fam Med Gen,Administratn "
 F12003," MD's, Fam Med Gen,Teaching     "
 F12004," MD's, Fam Med Gen,Research     "
 F12005," MD's, Fam Med Gen,Other        "
 F12006," MD's, Fam Med Subspec, Total   "
 F12007," MD's, Fam Med Subsp,Tot Ptn Cr "
 F12008," MD's, Fam Med Subsp,PC,Off Bsd "
 F12011," MD's, Fam Med Subsp,Hsp FT Stf "
 F12012," MD's, Fam Med Subsp,Admin      "
 F12013," MD's, Fam Med Subsp,Teaching   "
 F12014," MD's, Fam Med Subsp,Research   "
 F12015," MD's, Fam Med Subsp,Other      "
 F12016," Total M.D.'s, 65-74            "
 F12017," Total M.D.'s, 75 +             "
 F12018," MD's, Tot General Pract, 65-74 "
 F12019," MD's, Tot General Pract, 75 +  "
 F12020," MD's, General Pract, 65-74     "
 F12021," MD's, General Pract, 75 +      "
 F12022," MD's, Family Med Gen, < 35     "
 F12023," MD's, Family Med Gen, 35-44    "
 F12024," MD's, Family Med Gen, 45-54    "
 F12025," MD's, Family Med Gen, 55-64    "
 F12026," MD's, Family Med Gen, 65-74    "
 F12027," MD's, Family Med Gen, 75 +     "
 F12028," MD's, Family Prac Subsp, < 35  "
 F12029," MD's, Family Prac Subsp, 35-44 "
 F12030," MD's, Family Prac Subsp, 45-54 "
 F12031," MD's, Family Prac Subsp, 55-64 "
 F12032," MD's, Family Prac Subsp, 65-74 "
 F12033," MD's, Family Prac Subsp, 75 +  "
 F12034," Medical Specs, Total, 65-74    "
 F12035," Medical Specs, Total, 75 +     "
 F12036," Allergy & Immunology, 65-74    "
 F12037," Allergy & Immunology, 75 +     "
 F12038," Cardiovascular Diseases, 65-74 "
 F12039," Cardiovascular Diseases, 75 +  "
 F12040," Dermatology, 65-74             "
 F12041," Dermatology, 75 +              "
 F12042," Gastroenterology, 65-74        "
